,Total_Heat,Hour,Day,Month,Year,Weekday,Weekend,Holiday
2008-01-01 00:00:00+00:00,98086.0,0,1,1,2008,1,0,1
2008-01-01 01:00:00+00:00,100454.0,1,1,1,2008,1,0,1
2008-01-01 02:00:00+00:00,107183.0,2,1,1,2008,1,0,1
2008-01-01 03:00:00+00:00,120688.0,3,1,1,2008,1,0,1
2008-01-01 04:00:00+00:00,158569.0,4,1,1,2008,1,0,1
2008-01-01 05:00:00+00:00,187503.0,5,1,1,2008,1,0,1
2008-01-01 06:00:00+00:00,181494.0,6,1,1,2008,1,0,1
2008-01-01 07:00:00+00:00,180836.0,7,1,1,2008,1,0,1
2008-01-01 08:00:00+00:00,173709.0,8,1,1,2008,1,0,1
2008-01-01 09:00:00+00:00,166374.0,9,1,1,2008,1,0,1
2008-01-01 10:00:00+00:00,159706.0,10,1,1,2008,1,0,1
2008-01-01 11:00:00+00:00,155715.0,11,1,1,2008,1,0,1
2008-01-01 12:00:00+00:00,154019.0,12,1,1,2008,1,0,1
2008-01-01 13:00:00+00:00,155666.0,13,1,1,2008,1,0,1
2008-01-01 14:00:00+00:00,158124.0,14,1,1,2008,1,0,1
2008-01-01 15:00:00+00:00,163667.0,15,1,1,2008,1,0,1
2008-01-01 16:00:00+00:00,166715.0,16,1,1,2008,1,0,1
2008-01-01 17:00:00+00:00,166299.0,17,1,1,2008,1,0,1
2008-01-01 18:00:00+00:00,164133.0,18,1,1,2008,1,0,1
2008-01-01 19:00:00+00:00,158119.0,19,1,1,2008,1,0,1
2008-01-01 20:00:00+00:00,143172.0,20,1,1,2008,1,0,1
2008-01-01 21:00:00+00:00,117264.0,21,1,1,2008,1,0,1
2008-01-01 22:00:00+00:00,99033.0,22,1,1,2008,1,0,1
2008-01-01 23:00:00+00:00,100623.0,23,1,1,2008,1,0,1
2008-01-02 00:00:00+00:00,102973.0,0,2,1,2008,2,0,0
2008-01-02 01:00:00+00:00,105448.0,1,2,1,2008,2,0,0
2008-01-02 02:00:00+00:00,112258.0,2,2,1,2008,2,0,0
2008-01-02 03:00:00+00:00,125197.0,3,2,1,2008,2,0,0
2008-01-02 04:00:00+00:00,162686.0,4,2,1,2008,2,0,0
2008-01-02 05:00:00+00:00,192746.0,5,2,1,2008,2,0,0
2008-01-02 06:00:00+00:00,186096.0,6,2,1,2008,2,0,0
2008-01-02 07:00:00+00:00,186645.0,7,2,1,2008,2,0,0
2008-01-02 08:00:00+00:00,179125.0,8,2,1,2008,2,0,0
2008-01-02 09:00:00+00:00,171886.0,9,2,1,2008,2,0,0
2008-01-02 10:00:00+00:00,165194.0,10,2,1,2008,2,0,0
2008-01-02 11:00:00+00:00,161266.0,11,2,1,2008,2,0,0
2008-01-02 12:00:00+00:00,159033.0,12,2,1,2008,2,0,0
2008-01-02 13:00:00+00:00,160803.0,13,2,1,2008,2,0,0
2008-01-02 14:00:00+00:00,163207.0,14,2,1,2008,2,0,0
2008-01-02 15:00:00+00:00,168608.0,15,2,1,2008,2,0,0
2008-01-02 16:00:00+00:00,171618.0,16,2,1,2008,2,0,0
2008-01-02 17:00:00+00:00,170916.0,17,2,1,2008,2,0,0
2008-01-02 18:00:00+00:00,168592.0,18,2,1,2008,2,0,0
2008-01-02 19:00:00+00:00,162054.0,19,2,1,2008,2,0,0
2008-01-02 20:00:00+00:00,146774.0,20,2,1,2008,2,0,0
2008-01-02 21:00:00+00:00,121931.0,21,2,1,2008,2,0,0
2008-01-02 22:00:00+00:00,103915.0,22,2,1,2008,2,0,0
2008-01-02 23:00:00+00:00,103462.0,23,2,1,2008,2,0,0
2008-01-03 00:00:00+00:00,105864.0,0,3,1,2008,3,0,0
2008-01-03 01:00:00+00:00,108391.0,1,3,1,2008,3,0,0
2008-01-03 02:00:00+00:00,115166.0,2,3,1,2008,3,0,0
2008-01-03 03:00:00+00:00,128240.0,3,3,1,2008,3,0,0
2008-01-03 04:00:00+00:00,166087.0,4,3,1,2008,3,0,0
2008-01-03 05:00:00+00:00,196651.0,5,3,1,2008,3,0,0
2008-01-03 06:00:00+00:00,189721.0,6,3,1,2008,3,0,0
2008-01-03 07:00:00+00:00,190879.0,7,3,1,2008,3,0,0
2008-01-03 08:00:00+00:00,183224.0,8,3,1,2008,3,0,0
2008-01-03 09:00:00+00:00,175803.0,9,3,1,2008,3,0,0
2008-01-03 10:00:00+00:00,169050.0,10,3,1,2008,3,0,0
2008-01-03 11:00:00+00:00,164980.0,11,3,1,2008,3,0,0
2008-01-03 12:00:00+00:00,162545.0,12,3,1,2008,3,0,0
2008-01-03 13:00:00+00:00,164431.0,13,3,1,2008,3,0,0
2008-01-03 14:00:00+00:00,166759.0,14,3,1,2008,3,0,0
2008-01-03 15:00:00+00:00,172279.0,15,3,1,2008,3,0,0
2008-01-03 16:00:00+00:00,175151.0,16,3,1,2008,3,0,0
2008-01-03 17:00:00+00:00,174376.0,17,3,1,2008,3,0,0
2008-01-03 18:00:00+00:00,171945.0,18,3,1,2008,3,0,0
2008-01-03 19:00:00+00:00,165158.0,19,3,1,2008,3,0,0
2008-01-03 20:00:00+00:00,149580.0,20,3,1,2008,3,0,0
2008-01-03 21:00:00+00:00,124672.0,21,3,1,2008,3,0,0
2008-01-03 22:00:00+00:00,106617.0,22,3,1,2008,3,0,0
2008-01-03 23:00:00+00:00,100646.0,23,3,1,2008,3,0,0
2008-01-04 00:00:00+00:00,102598.0,0,4,1,2008,4,0,0
2008-01-04 01:00:00+00:00,105463.0,1,4,1,2008,4,0,0
2008-01-04 02:00:00+00:00,111720.0,2,4,1,2008,4,0,0
2008-01-04 03:00:00+00:00,125199.0,3,4,1,2008,4,0,0
2008-01-04 04:00:00+00:00,163360.0,4,4,1,2008,4,0,0
2008-01-04 05:00:00+00:00,196243.0,5,4,1,2008,4,0,0
2008-01-04 06:00:00+00:00,188850.0,6,4,1,2008,4,0,0
2008-01-04 07:00:00+00:00,188934.0,7,4,1,2008,4,0,0
2008-01-04 08:00:00+00:00,181667.0,8,4,1,2008,4,0,0
2008-01-04 09:00:00+00:00,174623.0,9,4,1,2008,4,0,0
2008-01-04 10:00:00+00:00,167826.0,10,4,1,2008,4,0,0
2008-01-04 11:00:00+00:00,163675.0,11,4,1,2008,4,0,0
2008-01-04 12:00:00+00:00,160928.0,12,4,1,2008,4,0,0
2008-01-04 13:00:00+00:00,163161.0,13,4,1,2008,4,0,0
2008-01-04 14:00:00+00:00,165338.0,14,4,1,2008,4,0,0
2008-01-04 15:00:00+00:00,171087.0,15,4,1,2008,4,0,0
2008-01-04 16:00:00+00:00,173329.0,16,4,1,2008,4,0,0
2008-01-04 17:00:00+00:00,173774.0,17,4,1,2008,4,0,0
2008-01-04 18:00:00+00:00,170809.0,18,4,1,2008,4,0,0
2008-01-04 19:00:00+00:00,164095.0,19,4,1,2008,4,0,0
2008-01-04 20:00:00+00:00,148682.0,20,4,1,2008,4,0,0
2008-01-04 21:00:00+00:00,123308.0,21,4,1,2008,4,0,0
2008-01-04 22:00:00+00:00,104753.0,22,4,1,2008,4,0,0
2008-01-04 23:00:00+00:00,86342.0,23,4,1,2008,4,0,0
2008-01-05 00:00:00+00:00,87781.0,0,5,1,2008,5,5,0
2008-01-05 01:00:00+00:00,90639.0,1,5,1,2008,5,5,0
2008-01-05 02:00:00+00:00,96173.0,2,5,1,2008,5,5,0
2008-01-05 03:00:00+00:00,109834.0,3,5,1,2008,5,5,0
2008-01-05 04:00:00+00:00,147586.0,4,5,1,2008,5,5,0
2008-01-05 05:00:00+00:00,174457.0,5,5,1,2008,5,5,0
2008-01-05 06:00:00+00:00,166344.0,6,5,1,2008,5,5,0
2008-01-05 07:00:00+00:00,162855.0,7,5,1,2008,5,5,0
2008-01-05 08:00:00+00:00,157122.0,8,5,1,2008,5,5,0
2008-01-05 09:00:00+00:00,150371.0,9,5,1,2008,5,5,0
2008-01-05 10:00:00+00:00,146152.0,10,5,1,2008,5,5,0
2008-01-05 11:00:00+00:00,141667.0,11,5,1,2008,5,5,0
2008-01-05 12:00:00+00:00,139541.0,12,5,1,2008,5,5,0
2008-01-05 13:00:00+00:00,139558.0,13,5,1,2008,5,5,0
2008-01-05 14:00:00+00:00,141469.0,14,5,1,2008,5,5,0
2008-01-05 15:00:00+00:00,148004.0,15,5,1,2008,5,5,0
2008-01-05 16:00:00+00:00,152491.0,16,5,1,2008,5,5,0
2008-01-05 17:00:00+00:00,153130.0,17,5,1,2008,5,5,0
2008-01-05 18:00:00+00:00,151188.0,18,5,1,2008,5,5,0
2008-01-05 19:00:00+00:00,146100.0,19,5,1,2008,5,5,0
2008-01-05 20:00:00+00:00,133551.0,20,5,1,2008,5,5,0
2008-01-05 21:00:00+00:00,108890.0,21,5,1,2008,5,5,0
2008-01-05 22:00:00+00:00,90990.0,22,5,1,2008,5,5,0
2008-01-05 23:00:00+00:00,78810.0,23,5,1,2008,5,5,0
2008-01-06 00:00:00+00:00,81123.0,0,6,1,2008,6,6,0
2008-01-06 01:00:00+00:00,81568.0,1,6,1,2008,6,6,0
2008-01-06 02:00:00+00:00,88289.0,2,6,1,2008,6,6,0
2008-01-06 03:00:00+00:00,104969.0,3,6,1,2008,6,6,0
2008-01-06 04:00:00+00:00,142224.0,4,6,1,2008,6,6,0
2008-01-06 05:00:00+00:00,157404.0,5,6,1,2008,6,6,0
2008-01-06 06:00:00+00:00,148857.0,6,6,1,2008,6,6,0
2008-01-06 07:00:00+00:00,146493.0,7,6,1,2008,6,6,0
2008-01-06 08:00:00+00:00,141049.0,8,6,1,2008,6,6,0
2008-01-06 09:00:00+00:00,135025.0,9,6,1,2008,6,6,0
2008-01-06 10:00:00+00:00,131467.0,10,6,1,2008,6,6,0
2008-01-06 11:00:00+00:00,127668.0,11,6,1,2008,6,6,0
2008-01-06 12:00:00+00:00,126890.0,12,6,1,2008,6,6,0
2008-01-06 13:00:00+00:00,129262.0,13,6,1,2008,6,6,0
2008-01-06 14:00:00+00:00,132221.0,14,6,1,2008,6,6,0
2008-01-06 15:00:00+00:00,136662.0,15,6,1,2008,6,6,0
2008-01-06 16:00:00+00:00,142395.0,16,6,1,2008,6,6,0
